[Header]
GSGX Version	1.6.0
Report Date	5/4/2010 1:35:59 PM
Project	Direct Hybrid
Group Set	Single
Analysis	DirectHybrid
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	4849554032_A.AVG_Signal	4849554032_B.AVG_Signal	4849554032_C.AVG_Signal	4849554032_D.AVG_Signal	4849554032_E.AVG_Signal	4849554032_F.AVG_Signal	4849554032_G.AVG_Signal	4849554032_H.AVG_Signal	4859453004_A.AVG_Signal	4859453004_B.AVG_Signal	4859453004_C.AVG_Signal	4859453004_D.AVG_Signal	4859453004_E.AVG_Signal	4859453004_F.AVG_Signal	4859453004_G.AVG_Signal	4859453004_H.AVG_Signal	4859453022_A.AVG_Signal	4859453022_B.AVG_Signal	4859453022_C.AVG_Signal	4859453022_D.AVG_Signal	4859453022_E.AVG_Signal	4859453022_F.AVG_Signal	4859453022_G.AVG_Signal	4859453022_H.AVG_Signal	4859453023_A.AVG_Signal	4859453023_B.AVG_Signal	4859453023_C.AVG_Signal	4859453023_D.AVG_Signal	4859453023_E.AVG_Signal	4859453023_F.AVG_Signal	4859453023_G.AVG_Signal	4859453023_H.AVG_Signal	4859453024_A.AVG_Signal	4859453024_B.AVG_Signal	4859453024_C.AVG_Signal	4859453024_D.AVG_Signal	4859453024_E.AVG_Signal	4859453024_F.AVG_Signal	4859453024_G.AVG_Signal	4859453024_H.AVG_Signal	4859453027_A.AVG_Signal	4859453027_B.AVG_Signal	4859453027_C.AVG_Signal	4859453027_D.AVG_Signal	4859453027_E.AVG_Signal	4859453027_F.AVG_Signal	4859453027_G.AVG_Signal	4859453027_H.AVG_Signal	
BIOTIN	5090180	10854.7500	10175.0900	10457.2600	9763.1870	10461.2100	9686.4890	10524.9400	9713.8110	14377.0400	14323.1100	13515.0200	13753.3500	14322.1800	13838.9700	14344.9500	13982.5200	15538.9900	17049.3600	15646.9000	12811.4300	14213.0600	13841.8000	16027.9900	14731.4600	14078.5700	14862.1000	14588.3000	14339.9700	14864.5300	14556.2100	15386.8900	15028.7200	15617.4500	15248.3400	16881.2300	14752.0200	14938.0700	15231.1300	14765.2900	15348.0600	12504.7300	13768.3300	13476.7400	13678.1100	12469.3700	12067.7900	13621.8700	12685.9000	
BIOTIN	6510136	13135.0700	12333.8000	13602.9100	12642.2600	13720.7300	12685.4700	13647.2500	12986.4900	16740.7400	15718.1600	15193.1200	17377.4400	16148.3000	16004.9300	16548.2000	17055.7100	20162.4200	20329.9500	19531.2000	15869.2500	17404.6800	17128.5300	18850.8400	16694.5000	16549.0100	18760.1700	17318.5700	17214.1300	16575.6300	16623.7900	16879.1900	17411.3000	17066.0200	17174.7900	18585.9900	16757.0700	17144.8600	16531.1200	16840.3200	16801.3000	16034.8200	16779.9500	15966.1000	17207.6500	15786.0300	14808.9900	16987.3100	15706.6600	
CY3_HYB	1110170	24115.5800	21261.3400	26622.8000	22747.7800	24957.1900	23472.0300	24251.6000	24211.7200	40521.6300	36740.8200	34938.6500	35626.1400	31157.5600	35810.6000	34237.1300	29884.2200	50663.8200	53916.7200	49694.8400	40398.7800	43482.4400	43419.8900	50276.7100	43636.6600	45542.7500	47884.0700	43792.3600	44336.9100	46111.3300	40761.3000	43413.5500	42939.7200	47433.1200	49344.8900	49991.4000	45302.3900	45684.3600	47334.6700	44863.3600	45449.1900	38011.8500	42259.5800	38571.2600	42891.0700	35237.6900	34310.8400	39553.8500	34357.6000	
CY3_HYB	1450438	848.1222	724.5374	779.2986	692.0986	797.4109	750.0535	785.9327	795.6394	1035.0630	893.6083	822.1198	867.2896	703.6353	842.6186	902.7702	793.1783	1368.9510	1338.7720	1290.9470	1014.6090	1089.7850	1081.3290	1365.7180	1161.9990	1148.4200	1169.4180	1063.3690	1128.6650	1121.9880	1000.8930	1180.9050	1116.3860	1328.6930	1281.4670	1349.5860	1236.4570	1377.5260	1302.9620	1272.6730	1147.5010	1019.6890	1081.0220	1041.2850	1165.1830	940.3074	883.5020	1123.6190	860.3506	
CY3_HYB	2510500	10752.6400	9353.7290	10295.1900	9845.6790	10516.0500	9150.5860	10350.7300	9868.1340	13221.1400	11554.8100	10332.3000	11200.4400	9680.4870	11090.4300	11383.0000	9578.6840	19740.3800	19239.8300	18130.5900	14208.1800	15364.3500	14855.5600	19241.5400	15482.9100	14687.5800	15571.5200	13855.3100	15122.2700	15751.2700	13131.0100	14348.6500	13603.3100	17245.6400	17700.5700	17718.8600	16539.5900	17336.5800	16794.3200	16410.3900	15844.6800	13106.5900	14616.0700	14189.0900	15933.6500	12329.4800	12228.4800	14532.6800	11876.8300	
CY3_HYB	4010327	28420.9300	25310.1900	29861.0000	27127.8700	30480.7100	29616.5200	29849.8600	28774.0900	49105.9000	42089.6800	41025.1900	42227.9000	39017.0300	42983.6700	43132.7400	37198.3800	56544.6800	58420.5900	57528.2500	49201.6300	50548.5300	50265.8500	57399.1300	51174.2000	50446.4400	52855.6800	50518.7100	51574.9900	51374.7500	45978.0000	50350.0800	48221.8400	54620.0100	53525.2800	55962.5600	52891.4100	51366.9600	52663.8200	53177.0900	51557.7600	44162.4300	50834.9100	48668.2700	51216.7800	43794.3400	42148.1000	47520.8000	41230.2800	
CY3_HYB	4610291	8016.9000	6776.7620	7663.9580	7257.2300	7566.1960	7180.7990	7303.3010	7166.6770	10696.9400	9478.4190	9041.3900	10054.6600	7951.0410	9000.8490	9180.3000	7375.4450	14929.4800	15242.7000	14241.0200	11038.9100	12180.1000	12186.4900	15216.6000	13077.9800	11377.1800	12728.1800	11630.9000	12071.0100	12009.4200	10519.2300	11922.8100	11746.4000	13534.1200	14389.8500	14180.8300	13849.8300	14226.5000	13235.0700	12675.9000	12163.1300	10472.0700	11291.8400	11643.0000	11596.3400	10096.6700	10003.5200	11244.7300	9262.2490	
CY3_HYB	7560739	815.7563	643.8221	831.0403	739.4882	802.7737	709.3740	840.4818	761.4156	1010.4270	832.6984	834.4076	811.5701	739.9640	884.9978	840.7865	809.4240	1244.8550	1316.1840	1252.1980	987.9218	991.2735	1058.5000	1276.7910	1111.6450	1101.4930	1105.7970	1039.0640	1084.3830	1001.4050	924.4666	1083.8060	1015.2460	1210.3750	1240.0160	1246.6150	1140.9520	1281.6820	1229.7230	1129.7310	1188.8130	1001.1760	1070.3930	981.4352	1075.5200	897.3903	799.5256	1068.8690	838.9284	
HOUSEKEEPING	5570132	45450.2900	23141.5600	42798.9100	38949.9500	48462.1800	39703.4900	46406.7700	47739.7800	63341.9500	60501.9200	58546.2500	50435.0200	56508.0200	59314.1900	53324.8800	50791.9800	56833.2000	30907.8700	62246.8900	50733.8900	51780.2800	55029.7900	59076.4500	53317.8000	59080.5400	58638.1000	56318.1300	58547.6300	50762.7600	57079.0000	60015.5200	52946.9700	51834.2900	58102.3400	50720.8900	41795.4900	44873.3200	52758.6100	51225.2600	52377.3400	53713.6500	56862.9500	53054.5200	57478.5500	52525.8200	50600.4600	59649.8700	49039.6700	
LABELING	1240647	76.8455	74.1277	83.0396	76.7411	81.9436	87.2753	90.6738	78.5758	114.4372	108.5510	95.3195	99.0128	101.0332	108.5664	106.7856	97.1440	110.5622	95.4932	106.7933	93.0140	91.0741	102.7534	124.1961	104.7313	115.9007	116.1705	106.9309	114.6128	112.1850	117.4657	110.5893	105.1684	120.1828	123.3727	128.3794	114.5420	119.5657	113.0002	109.3196	117.8116	97.2495	110.7353	96.3091	102.4944	94.6660	94.1284	109.6365	92.2335	
