000	5722018484:35 
00	5722018484:5 
02	5722018484:1 
042	5722018484:1 
082	5722018484:1 
100	5722018484:13 
104th	5722018484:1 
105	5722018484:1 
10	5722018484:26 
10th	5722018484:1 
110	5722018484:1 
11	5722018484:12 
116	5722018484:2 
11th	5722018484:1 
120	5722018484:1 
1220	5722018484:1 
123	5722018484:1 
12	5722018484:18 
12th	5722018484:2 
13	5722018484:12 
13th	5722018484:1 
14	5722018484:8 
150	5722018484:2 
15	5722018484:16 
1	5722018484:51 
16	5722018484:6 
170	5722018484:1 
175	5722018484:1 
17	5722018484:9 
18	5722018484:6 
1863	5722018484:1 
1880	5722018484:1 
1883	5722018484:1 
1890	5722018484:1 
1893	5722018484:1 
1895	5722018484:1 
1897	5722018484:2 
1898	5722018484:5 
1899	5722018484:3 
1900	5722018484:1 
1902	5722018484:1 
1903	5722018484:3 
1904	5722018484:5 
1906	5722018484:5 
1910	5722018484:1 
1911	5722018484:3 
1912	5722018484:1 
1913	5722018484:2 
1915	5722018484:3 
1916	5722018484:2 
1921	5722018484:1 
1923	5722018484:2 
1933	5722018484:3 
1935	5722018484:1 
1937	5722018484:2 
1939	5722018484:2 
1942	5722018484:1 
1948	5722018484:1 
1950s	5722018484:2 
1951	5722018484:2 
1952	5722018484:1 
1953	5722018484:4 
1955	5722018484:1 
19	5722018484:2 
1957	5722018484:2 
1960	5722018484:2 
1960s	5722018484:1 
1961	5722018484:2 
1963	5722018484:2 
1966	5722018484:2 
1967	5722018484:1 
1968	5722018484:2 
1969	5722018484:1 
1970	5722018484:3 
1970s	5722018484:1 
1972	5722018484:1 
1974	5722018484:1 
1975	5722018484:4 
1976	5722018484:2 
1977	5722018484:3 
1980	5722018484:2 
1980s	5722018484:2 
1981	5722018484:2 
1982	5722018484:3 
1983	5722018484:1 
1985	5722018484:4 
198	5722018484:1 
1986	5722018484:1 
1987	5722018484:2 
1988	5722018484:5 
1989	5722018484:2 
1990	5722018484:6 
1990s	5722018484:5 
1991	5722018484:7 
1992	5722018484:3 
1993	5722018484:4 
1994	5722018484:2 
1995	5722018484:7 
1996	5722018484:3 
1997	5722018484:3 
1998	5722018484:6 
1999	5722018484:9 
19th	5722018484:2 
1st	5722018484:3 
2000	5722018484:1 
2001	5722018484:33 
2002	5722018484:55 
2003	5722018484:60 
2004	5722018484:39 
2005	5722018484:32 
200	5722018484:8 
2006	5722018484:22 
2007	5722018484:5 
2008	5722018484:3 
