hierarchy:	5722018435:1 
hierarchy	5722018439:11 5722018438:10 5722018437:1 5722018435:24 5722018479:1 5722018457:1 5722018443:98 5722018463:4 5722018485:12 5722018462:1 5722018461:19 5722018483:2 5722018482:9 5722018460:10 5722018480:5 5722018508:1 5722018507:4 5722018505:4 5722018504:7 5722018448:3 5722018502:7 5722018447:11 5722018469:2 5722018446:1 5722018468:3 5722018467:1 5722018455:1 5722018477:19 5722018476:7 5722018454:4 5722018453:24 5722018474:11 5722018452:3 5722018495:7 5722018473:1 5722018451:3 5722018450:3 5722018471:5 5722018491:2 
hierarchy’,	5722018443:1 
hierarchy).	5722018447:1 
hierarchy?	5722018448:1 5722018435:1 
hierarchy)	5722018460:1 5722018435:2 
hierarchy;	5722018477:1 5722018443:2 5722018453:1 
hierarchy.	5722018505:2 5722018439:8 5722018504:1 5722018459:1 5722018448:1 5722018502:1 5722018469:1 5722018435:5 5722018479:1 5722018456:2 5722018500:1 5722018477:3 5722018443:12 5722018453:2 5722018474:5 5722018452:1 5722018485:1 5722018440:1 5722018461:3 
hierarchy,	5722018507:1 5722018439:3 5722018438:1 5722018504:2 5722018459:1 5722018437:1 5722018502:4 5722018435:4 5722018479:1 5722018456:2 5722018500:1 5722018477:8 5722018443:4 5722018454:1 5722018476:3 5722018453:10 5722018474:4 5722018485:3 5722018473:1 5722018461:2 5722018483:2 5722018460:1 5722018491:1 
hierarchy.A	5722018453:1 
hierarchy.Although	5722018435:1 
hierarchy.Builds	5722018502:1 
hierarchy).Clearly,	5722018443:1 
hierarchy.Finally,	5722018502:1 
hierarchy—first-order	5722018443:1 
hierarchy.From	5722018499:1 
hierarchy.Gilbert	5722018443:1 
hierarchy.I	5722018453:1 
hierarchy.Most	5722018461:1 
hierarchy.My	5722018435:1 
hierarchy.Now,	5722018435:1 
hierarchy's	5722018439:1 
hierarchy.Synchronization	5722018447:1 
hierarchy.The	5722018471:1 5722018438:1 5722018435:1 
hierarchy.This	5722018443:1 5722018460:1 5722018502:1 
